ランク,スコア,会社名,市町村,業種,電話,代表者名※要検証,設立年※要検証,社歴,承継期,周年間近,手紙の型,求人出稿,SNS,メール,HP,法人番号,要クリーンアップ,注意,取得元
S,13,デンセンドウ,那覇市,リフォーム会社,098-884-6140,大城 充,1992,34,True,True,A 承継期,True,False,info@densendou.co.jp,https://www.densendou.jp/,5360002002929,,,ceremony
S,12,大和住宅産業,浦添市,不動産・建設,098-876-1232,大城 和則,1971,55,True,True,A 承継期,True,False,,https://daiwa-j.net/,9360002016248,,,ceremony
S,12,ホームメイトFC浦添店 有限会社大吉宅建,浦添市,不動産・建設,098-879-1160,名嘉真 秀,1987,39,True,True,A 承継期,True,True,info@daikiti-takuken.co.jp,http://www.daikiti-takuken.co.jp/,2360002016205,,,centercall
S,12,(有)スタプランニング 設計施工部,那覇市,リフォーム会社,098-833-5519,赤嶺 剛,1996,30,True,True,A 承継期,True,True,info@stta-p.com,https://www.stta-p.com/,8360002002315,,,indeedhack
S,12,ちゅら建装,那覇市,リフォーム会社,098-835-9592,大城一志,1996,30,True,True,A 承継期,True,False,info@churaken.com,https://churaken.com/,,法人番号なし,,ceremony
S,11,津堅事務用品店,那覇市,リフォーム会社,098-866-4900,津堅直樹,1980,46,True,False,A 承継期,True,False,info@tsukenjim.com,http://www.tsukenjim.com/,4360001035955,,,ceremony
S,11,（有）久茂地宅建,那覇市,不動産・建設,098-867-9422,奥間 久子,1983,43,True,False,A 承継期,True,False,info@kthousing.com,http://www.kthousing.com/,7360002001532,,,ceremony
S,11,(有)辰雄建設,糸満市,不動産・建設,098-992-5247,,1987,39,True,True,A 承継期,True,False,,https://tatsuo-kensetsu.jp/,7360002009195,代表者名なし,,ceremony
S,11,(有)大栄土建,糸満市,不動産・建設,098-994-6921,,1991,35,True,True,A 承継期,True,False,,https://www.kensetumap.com/,9360002009177,代表者名なし,,indeedhack
S,10,（一財）沖縄観光コンベンションビューロー,那覇市,観光施設・レジャー,098-859-6123,浜田 京介,1972,54,True,True,A 承継期,True,False,,http://www.ocvb.or.jp/,4360005000170,,,indeedhack
S,10,南山開発,糸満市,不動産・建設,098-992-5511,浦崎 ひとみ,1973,53,True,False,A 承継期,True,False,,http://nanzan.ti-da.net/e2945776.html,8360001001672,,,ceremony
S,10,（有）新居開発,那覇市,不動産・建設,098-833-0874,大濱 設力,1979,47,True,False,A 承継期,True,False,,https://u-arai-k.main.jp/,1360002000267,,,indeedhack
S,10,株式会社アレックス,那覇市,リフォーム会社,098-863-3155,外間 俊,1979,47,True,False,A 承継期,True,True,alex@alex-okinawa.com,https://www.alex-okinawa.com/,2360001000093,,,centercall
