許可番号,区分,商号,代表者,郵便番号,市区町村,所在地,電話番号,資本金(千円),法人/個人,許可業種,特定,許可年月日,推定年数下限,業種分類,中南部
47013348,知事,（株）ＡＲＣＨＩＳＳ,末吉 正志,901-2113,浦添市,大平２－４－２１,098-870-0595,1500,法人,建大屋タ内,,R041101,8,建設業（総合）,1
47009349,知事,（有）アーキテクト,森東 秋夫,904-0101,中頭郡北谷町,字上勢頭６３０－５,098-936-8303,35000,法人,土建大左と石屋タ鋼筋舗板ガ塗防内絶具水,1,R061031,20,建設業（総合）,1
47010727,知事,（有）ＡＲＣＨＩＴＥＣＴ ＤＥＳＩＧＮ ＴＡＵＲＵＳ,當山 一仁,904-0004,沖縄市,中央１丁目３６－９,098-937-3131,3300,法人,土建大と石屋タ鋼舗し内水,,R060921,15,建設業（総合）,1
47014190,知事,（合）アーキ防水塗装,上地 義晃,907-0023,石垣市,字石垣４１８－６,0980-87-8651,5000,法人,塗防,,R021106,5,塗装・防水,
47014269,知事,（株）アーキラボラフィット,德里 政俊,904-2152,沖縄市,明道１－３－２（２Ｆ）,098-988-5128,3000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R030226,5,建設業（総合）,1
47014830,知事,（株）アーク設備工業,阿波根 昌彦,903-0805,那覇市,首里鳥堀町４－５９,098-887-0630,8000,法人,管,,R050224,0,電気・設備工事,1
47012805,知事,（株）アース・エコ,町田 宗康,904-2234,うるま市,字州崎７－２４,098-923-5940,10000,法人,土と石鋼舗水,,R070806,12,建設業（総合）,1
47011825,知事,（株）アース企画,運天 辰典,901-0224,豊見城市,字与根３３３－５,098-856-3450,10000,法人,塗防,,R070830,12,塗装・防水,1
47012473,知事,アース建設（株）,友寄 司,901-2111,浦添市,字経塚８７－３,098-943-2998,5000,法人,建大屋タ内,,R060328,12,建設業（総合）,1
47011914,知事,（株）アース貿易,多和田 真誠,901-2205,宜野湾市,赤道２－８－２１,098-893-6798,30000,法人,建大左石屋タ板ガ塗防内絶具,,R030324,12,建設業（総合）,1
47002834,知事,（有）アート電気工事社,仲村 宗安,904-0303,中頭郡読谷村,字伊良皆２３７－１,098-956-2448,7000,法人,土と石電舗水,,R030116,35,建設業（総合）,1
47015382,知事,（株）アートマン計画事務所,岡本 賢一,900-0033,那覇市,久米２－１５－１０ 久米第２ビル,098-866-9682,34500,法人,建内,,R070627,0,建設業（総合）,1
47012235,知事,（株）アートリンク,与座 朝秀,901-0146,那覇市,具志３－１７－２２,098-894-5397,10000,法人,土と石鋼舗し水,,R070703,12,建設業（総合）,1
47011828,知事,（株）アーバン沖縄,棚原 良太郎,901-2102,浦添市,字前田１０１３,098-873-0088,10000,法人,ガ具,,R070907,12,その他専門工事,1
47006859,知事,（株）アーバンスペース,東江 安彦,900-0012,那覇市,泊２－２３－８,098-863-3630,10000,法人,建機消,,R040514,28,建設業（総合）,1
47013420,知事,（株）アール,浜屋 英治,902-0068,那覇市,真嘉比３－５－２０－１階,098-927-8976,3000,法人,土電通,,R050320,8,建設業（総合）,1
47013811,知事,（株）アールエスアール技研,川田 広子,906-0013,宮古島市,平良字下里１４４０－５,0980-79-9460,3000,法人,土と石電管鋼舗し塗水消,,R061002,5,建設業（総合）,
47013615,知事,（有）アールエフピー,備瀬 誠,902-0076,那覇市,字与儀３７７－１０,098-831-7637,3000,法人,内,,R060109,8,内装工事,1
